geometry,Dmax,Nfaces,host_mean,host_std,init_mean,init_std,storage_MB,n_runs
Hex1944,6,13,1.0149308000000001,0.008781437226193428,0.16963612,0.0009919784870590076,4.27223,100
Hex1944,6,14,1.0190076000000001,0.0041826071131085656,0.16663956,0.0010765629307376262,4.13508,100
Hex1944,6,15,1.0414605000000001,0.004679900148939116,0.15422827,0.0011672780463431775,3.72279,100
Hex1944,6,16,1.0260056,0.004052925447978135,0.15255367,0.0010747773370998455,3.67143,100
Hex1944,7,1,0.9817163999999999,0.038592260993179146,1.7175792,0.013446510919907506,58.1178,100
Hex1944,7,2,0.9831203700000001,0.009058944518596526,1.3335572,0.005996748627465559,45.607,100
Hex1944,7,3,0.99242937,0.034734939500365346,1.2705937,0.00605149595913559,42.7157,100
Hex1944,7,4,1.0238697,0.01873619871621065,0.6990282000000001,0.003783188142988999,23.0845,100
Hex1944,7,5,1.0241639,0.003478274242648319,0.62729825,0.0030937687564985957,19.6928,100
Hex1944,7,6,1.0216768999999999,0.01588521666439421,0.59665936,0.0028420940228548845,18.0091,100
Hex1944,7,7,1.0332344,0.01495231216335129,0.42856751000000004,0.0028119893978527676,13.0044,100
Hex1944,7,8,1.0342915,0.009734297521255618,0.39044639,0.0025292732373134205,11.3318,100
Hex1944,7,9,1.0390087,0.004131863046172182,0.37349715000000006,0.002092731892826341,10.6004,100
Hex1944,7,10,1.0446735,0.006070970230980761,0.3606033,0.00245510594105798,10.1135,100
Hex1944,7,11,1.0409922,0.011354699252340898,0.35235572,0.0027970420417709743,9.7529,100
Hex1944,7,12,1.0116582,0.004422289817766707,0.21742493,0.001543113488203233,5.88328,100
Hex1944,7,13,1.0184178,0.0043706756013368545,0.19632475,0.0015602656299036344,5.195,100
Hex1944,7,14,1.0217,0.00398878199682333,0.18982371,0.0013185025581539799,4.85548,100
Hex1944,7,15,1.0316188,0.009135973880625693,0.16745190000000001,0.0012575785815959516,4.13676,100
Hex1944,7,16,1.0380203000000001,0.010378228421152446,0.16558184,0.0012857674807465994,3.98268,100
Hex1944,8,1,1.0649081,0.0755800329798977,4.7478328,0.007707834539799743,172.937,100
Hex1944,8,2,1.0325674999999999,0.013963657908002363,3.8213567999999998,0.005755406922927762,138.73,100
Hex1944,8,3,1.0189074,0.009343723072120915,3.5520682,0.029267124638509678,121.028,100
Hex1944,8,4,1.0538246,0.018935398170590128,0.9865664599999999,0.002539867531819702,32.916,100
Hex1944,8,5,1.0517952,0.008065199275500604,0.8995862,0.003140980349437981,28.6891,100
Hex1944,8,6,1.0456984,0.02354441788568486,0.8622859900000001,0.005136773346570823,26.665,100
Hex1944,8,7,1.0618457,0.002612461301245462,0.61567918,0.003310550317034342,19.6627,100
Hex1944,8,8,1.0584998,0.004081167138469233,0.5427999,0.0027054712336226374,16.0919,100
Hex1944,8,9,1.0647777,0.020610434831645232,0.52518299,0.0022460355353737427,15.3098,100
Hex1944,8,10,1.0618945000000002,0.00407885812279106,0.51295546,0.0023450064479246216,14.8229,100
Hex1944,8,11,1.0622022,0.0045831431541811084,0.50522336,0.0020830474010812903,14.4623,100
Hex1944,8,12,1.0145298,0.008227560849690126,0.21698785,0.00146146309266164,5.88328,100
Hex1944,8,13,1.0193558,0.00944274048348168,0.19562873,0.001228050708450288,5.195,100
Hex1944,8,14,1.0262129,0.004437925007673888,0.18946802000000001,0.0014086707394282076,4.85548,100
Hex1944,8,15,1.0379471,0.005405893957972949,0.16721062,0.0011958481862027657,4.13676,100
Hex1944,8,16,1.0400382000000001,0.005029962624115608,0.16485430999999998,0.0010520024263039965,3.98268,100
Hex243,4,1,0.7039657800000001,0.002824642005779898,0.0041466,8.701536341007695e-05,0.178168,50
Hex243,4,2,0.70501898,0.0022024604839282116,0.00415844,5.777265789281295e-05,0.178168,50
Hex243,4,3,0.70642576,0.004181079259947021,0.0041598,8.872498210188372e-05,0.178168,50
Hex243,4,4,0.7059791799999999,0.0022352630826306427,0.00417486,7.496148943263585e-05,0.178168,50
Hex243,4,5,0.7059541199999999,0.002230785783036078,0.00417246,7.768938939449707e-05,0.178168,50
Hex243,4,6,0.70570042,0.0023415029543662983,0.0041753,7.417856283100582e-05,0.178168,50
Hex243,4,7,0.70573536,0.002435796888084063,0.00415106,8.365976040011156e-05,0.178168,50
Hex243,4,8,0.70591776,0.002436715676512804,0.00418812,8.625653243526026e-05,0.178168,50
Hex243,4,9,0.70543218,0.0022526270712305615,0.00415486,5.729765105417956e-05,0.178168,50
Hex243,4,10,0.70556108,0.0022523869591785373,0.004182040000000001,6.803899242196287e-05,0.178168,50
